"KODZASTUP","NAZ_OBEC","NAZ_CZNUTS3"
500020,"Petrov nad Desnou","Olomoucký kraj"
501841,"Grygov","Olomoucký kraj"
505293,"Troubelice","Olomoucký kraj"
510882,"Velká Polom","Moravskoslezský kraj"
511935,"Bukovec","Moravskoslezský kraj"
512028,"Písek","Moravskoslezský kraj"
513067,"Černotín","Olomoucký kraj"
515191,"Lobodice","Olomoucký kraj"
529621,"Divišov","Středočeský kraj"
530204,"Mrač","Středočeský kraj"
531839,"Tetín","Středočeský kraj"
532193,"Lštění","Středočeský kraj"
532452,"Kamenné Žehrovice","Středočeský kraj"
533629,"Radim","Středočeský kraj"
533831,"Velim","Středočeský kraj"
534196,"Svatý Mikuláš","Středočeský kraj"
534731,"Cítov","Středočeský kraj"
535079,"Nelahozeves","Středočeský kraj"
535214,"Střemy","Středočeský kraj"
535222,"Tišice","Středočeský kraj"
535273,"Veltrusy","Středočeský kraj"
536733,"Kolšov","Olomoucký kraj"
537918,"Dalovice","Karlovarský kraj"
537926,"Jenišov","Karlovarský kraj"
538051,"Bašť","Středočeský kraj"
538272,"Jirny","Středočeský kraj"
538434,"Svatava","Karlovarský kraj"
538680,"Pyšely","Středočeský kraj"
538752,"Senohraby","Středočeský kraj"
539376,"Vlkovice","Karlovarský kraj"
540331,"Malá Morava","Olomoucký kraj"
540366,"Maletín","Olomoucký kraj"
540986,"Sobotín","Olomoucký kraj"
541036,"Stará Červená Voda","Olomoucký kraj"
541117,"Supíkovice","Olomoucký kraj"
541508,"Věšín","Středočeský kraj"
541907,"Kounov","Středočeský kraj"
541991,"Lány","Středočeský kraj"
542105,"Mšec","Středočeský kraj"
544272,"Borek","Jihočeský kraj"
545406,"Benešov nad Černou","Jihočeský kraj"
545414,"Besednice","Jihočeský kraj"
545431,"Brloh","Jihočeský kraj"
545554,"Kájov","Jihočeský kraj"
545678,"Markvartice","Ústecký kraj"
546186,"Ryjice","Ústecký kraj"
546941,"Dobšice","Jihomoravský kraj"
546968,"Pluhův Žďár","Jihočeský kraj"
547280,"Suchdol nad Lužnicí","Jihočeský kraj"
547930,"Horní Ves","Kraj Vysočina"
548081,"Jiřice","Kraj Vysočina"
548472,"Obrataň","Kraj Vysočina"
550264,"Chroboly","Jihočeský kraj"
550540,"Strunkovice nad Blanicí","Jihočeský kraj"
550663,"Vlachovo Březí","Jihočeský kraj"
550787,"Strakonice","Jihočeský kraj"
551791,"Střelské Hoštice","Jihočeský kraj"
552003,"Čaková","Moravskoslezský kraj"
552151,"Skrbeň","Olomoucký kraj"
552160,"Pňovice","Olomoucký kraj"
552551,"Staré Město","Moravskoslezský kraj"
552577,"Pstruží","Moravskoslezský kraj"
553671,"Horšovský Týn","Plzeňský kraj"
553824,"Kout na Šumavě","Plzeňský kraj"
554006,"Nemanice","Plzeňský kraj"
554294,"Staňkov","Plzeňský kraj"
554707,"Nový Kostel","Karlovarský kraj"
554995,"Bečov nad Teplou","Karlovarský kraj"
555185,"Hroznětín","Karlovarský kraj"
555258,"Kolová","Karlovarský kraj"
555363,"Merklín","Karlovarský kraj"
555533,"Sadov","Karlovarský kraj"
555762,"Žlutice","Karlovarský kraj"
556254,"Horažďovice","Plzeňský kraj"
557676,"Dobřany","Plzeňský kraj"
557838,"Chotěšov","Plzeňský kraj"
557846,"Chválenice","Plzeňský kraj"
558249,"Přeštice","Plzeňský kraj"
558435,"Štěnovice","Plzeňský kraj"
559504,"Trnová","Plzeňský kraj"
559580,"Vejprnice","Plzeňský kraj"
560251,"Volduchy","Plzeňský kraj"
560588,"Oloví","Karlovarský kraj"
561185,"Staré Sedliště","Plzeňský kraj"
562262,"Zákupy","Liberecký kraj"
562327,"Třebětice","Jihočeský kraj"
562645,"Kytlice","Ústecký kraj"
563013,"Březno","Ústecký kraj"
563285,"Perštejn","Ústecký kraj"
563323,"Radonice","Ústecký kraj"
563595,"Janov nad Nisou","Liberecký kraj"
563668,"Kořenov","Liberecký kraj"
563854,"Zásada","Liberecký kraj"
563960,"Český Dub","Liberecký kraj"
564371,"Raspenava","Liberecký kraj"
564907,"Nupaky","Středočeský kraj"
566195,"Hříškov","Ústecký kraj"
566349,"Libčeves","Ústecký kraj"
566934,"Vroutek","Ústecký kraj"
567175,"Horní Jiřetín","Ústecký kraj"
567850,"Újezdeček","Ústecký kraj"
568350,"Velké Březno","Ústecký kraj"
568473,"Závišice","Moravskoslezský kraj"
568562,"Heřmanice u Oder","Moravskoslezský kraj"
568775,"Pustějov","Moravskoslezský kraj"
568988,"Ledeč nad Sázavou","Kraj Vysočina"
571202,"Bojanov","Pardubický kraj"
571261,"Kytín","Středočeský kraj"
572101,"Předhradí","Pardubický kraj"
572390,"Trhová Kamenice","Pardubický kraj"
575071,"Chvaletice","Pardubický kraj"
577308,"Lomnice nad Popelkou","Liberecký kraj"
579556,"Mostek","Královéhradecký kraj"
580643,"Mistrovice","Pardubický kraj"
581496,"Černá Hora","Jihomoravský kraj"
581542,"Doubravice nad Svitavou","Jihomoravský kraj"
581828,"Křtiny","Jihomoravský kraj"
582808,"Babice u Rosic","Jihomoravský kraj"
583197,"Kanice","Jihomoravský kraj"
583685,"Prace","Jihomoravský kraj"
583952,"Šlapanice","Jihomoravský kraj"
584029,"Troubsko","Jihomoravský kraj"
584100,"Veverská Bítýška","Jihomoravský kraj"
584185,"Zakřany","Jihomoravský kraj"
584207,"Zastávka","Jihomoravský kraj"
584223,"Zbýšov","Jihomoravský kraj"
584339,"Borkovany","Jihomoravský kraj"
584363,"Brumovice","Jihomoravský kraj"
584916,"Strachotín","Jihomoravský kraj"
585106,"Bratřejov","Zlínský kraj"
585149,"Březůvky","Zlínský kraj"
585343,"Kašava","Zlínský kraj"
585611,"Podkopná Lhota","Zlínský kraj"
585858,"Tlumačov","Zlínský kraj"
586048,"Blatnice pod Svatým Antonínkem","Jihomoravský kraj"
586552,"Sobůlky","Jihomoravský kraj"
586706,"Vacenovice","Jihomoravský kraj"
587931,"Stonařov","Kraj Vysočina"
589268,"Bedihošť","Olomoucký kraj"
589543,"Hrubčice","Olomoucký kraj"
589730,"Mostkovice","Olomoucký kraj"
590207,"Vřesovice","Olomoucký kraj"
591459,"Přibyslavice","Kraj Vysočina"
591637,"Rudíkov","Kraj Vysočina"
591998,"Želetava","Kraj Vysočina"
592021,"Bánov","Zlínský kraj"
592641,"Suchá Loz","Zlínský kraj"
592919,"Bošovice","Jihomoravský kraj"
593052,"Hostěrádky-Rešov","Jihomoravský kraj"
593257,"Letonice","Jihomoravský kraj"
593265,"Lovčičky","Jihomoravský kraj"
593273,"Luleč","Jihomoravský kraj"
593371,"Němčany","Jihomoravský kraj"
593974,"Dyjákovice","Jihomoravský kraj"
594202,"Jevišovice","Jihomoravský kraj"
594270,"Krhovice","Jihomoravský kraj"
594369,"Litobratřice","Jihomoravský kraj"
594768,"Skalice","Jihomoravský kraj"
594911,"Šumná","Jihomoravský kraj"
595071,"Višňové","Jihomoravský kraj"
596361,"Ostrov nad Oslavou","Kraj Vysočina"
596876,"Škrdlovice","Kraj Vysočina"
597350,"Horní Benešov","Moravskoslezský kraj"
597716,"Osoblaha","Moravskoslezský kraj"
597996,"Zlaté Hory","Olomoucký kraj"
598062,"Bystřice","Moravskoslezský kraj"
598143,"Frýdlant nad Ostravicí","Moravskoslezský kraj"
598160,"Hnojník","Moravskoslezský kraj"
598551,"Palkovice","Moravskoslezský kraj"
598691,"Hukvaldy","Moravskoslezský kraj"
598739,"Stará Ves nad Ondřejnicí","Moravskoslezský kraj"
599140,"Stonava","Moravskoslezský kraj"
599468,"Jeseník nad Odrou","Moravskoslezský kraj"
